Date,HomeTeam,AwayTeam,FullTime_HomeTeam_Goals,FullTime_AwayTeam_Goals,FullTime_Result,HalfTime_HomeTeam_Goals,HalfTime_AwayTeam_Goals,HalfTime_Result,HomeTeam_Shots,AwayTeam_Shots,HomeTeam_ShotsOnTarget,AwayTeam_ShotsOnTarget,HomeTeam_FoulsCommitted,AwayTeam_FoulsCommitted,HomeTeam_Corners,AwayTeam_Corners,HomeTeam_YellowCards,AwayTeam_YellowCards,HomeTeam_RedCards,AwayTeam_RedCards
23/01/11,Real Madrid,Mallorca,1,0,H,0,0,D,18,10,5,2,12,15,12,5,3,4,0,0
23/01/11,Sp Gijon,Ath Madrid,1,0,H,0,0,D,6,5,3,1,19,14,4,5,2,3,0,0
23/01/11,Villarreal,Sociedad,2,1,H,1,1,D,28,4,8,1,14,20,8,2,1,4,0,0
23/01/11,Zaragoza,La Coruna,1,0,H,1,0,H,7,5,4,0,30,14,5,1,4,2,0,0
24/01/11,Ath Bilbao,Hercules,3,0,H,1,0,H,12,7,4,3,21,16,8,1,3,4,0,0
29/01/11,Hercules,Barcelona,0,3,A,0,1,A,4,22,2,8,12,8,2,9,2,1,1,0
29/01/11,La Coruna,Sevilla,3,3,D,1,0,H,16,12,5,6,14,8,4,5,1,3,0,1
29/01/11,Levante,Getafe,2,0,H,0,0,D,15,7,6,0,10,11,3,3,3,2,1,1
29/01/11,Malaga,Zaragoza,1,2,A,1,1,D,15,12,6,7,14,26,5,3,3,4,0,0
29/01/11,Mallorca,Sp Gijon,0,4,A,0,1,A,16,10,3,3,17,10,4,2,4,2,0,0
29/01/11,Sociedad,Almeria,2,0,H,1,0,H,13,22,5,5,10,23,9,2,2,3,0,0
30/01/11,Ath Madrid,Ath Bilbao,0,2,A,0,1,A,16,15,7,7,17,17,3,6,3,1,1,0
30/01/11,Espanol,Villarreal,0,1,A,0,1,A,13,16,5,6,9,13,7,5,2,4,0,0
30/01/11,Osasuna,Real Madrid,1,0,H,0,0,D,9,21,3,4,24,9,5,5,8,3,0,0
31/01/11,Santander,Valencia,1,1,D,1,0,H,8,8,4,3,14,16,3,6,4,2,1,2
05/02/11,Almeria,Espanol,3,2,H,3,1,H,11,17,5,5,24,16,4,6,5,3,0,0
05/02/11,Ath Bilbao,Sp Gijon,3,0,H,2,0,H,13,6,6,1,15,14,9,3,4,2,0,1
05/02/11,Barcelona,Ath Madrid,3,0,H,2,0,H,15,10,8,4,11,15,5,5,2,3,0,0
05/02/11,Getafe,La Coruna,4,1,H,3,0,H,19,19,10,8,12,8,5,7,5,4,0,0
05/02/11,Osasuna,Mallorca,1,1,D,1,1,D,16,8,5,4,16,14,5,4,1,1,0,0
05/02/11,Villarreal,Levante,0,1,A,0,0,D,14,11,4,4,10,14,6,7,2,7,0,0
05/02/11,Zaragoza,Santander,1,1,D,1,1,D,18,13,5,4,20,22,4,5,4,3,0,0
06/02/11,Real Madrid,Sociedad,4,1,H,3,0,H,30,14,8,4,7,10,11,3,2,3,0,0
06/02/11,Sevilla,Malaga,0,0,D,0,0,D,9,6,2,1,17,16,7,4,4,4,0,0
06/02/11,Valencia,Hercules,2,0,H,1,0,H,15,7,7,3,17,14,4,2,3,2,0,0
12/02/11,Ath Madrid,Valencia,1,2,A,1,1,D,15,11,5,2,14,17,13,5,2,4,1,0
12/02/11,Santander,Sevilla,3,2,H,2,1,H,8,19,4,6,19,10,1,7,4,3,1,0
12/02/11,Sp Gijon,Barcelona,1,1,D,1,0,H,7,15,1,6,17,8,4,10,4,6,0,0
13/02/11,Espanol,Real Madrid,0,1,A,0,1,A,19,19,5,10,11,9,5,9,2,2,0,1
13/02/11,Hercules,Zaragoza,2,1,H,0,1,A,7,11,5,6,12,17,2,3,1,3,0,0
